name,id,rating,price
,,,
Rainbow Grocery,5NvXIkNdCCqUb235WVfMJg,4.0,$$
Parada 22,TlBFKt2N2eSEBpN-UZmDBw,4.0,$$
Newtree,thrAX79eegx1Of82TCJhrA,4.0,$$
Starbucks,C36BK5luxi-8apVMMhsizQ,3.5,$
Dojima-Ann,cseyjQ0XIp6dwC0_TcaMOg,3.5,$$
Piccino,i2VhtC1JkV_sZOA4urd1ng,4.0,$$
Eric's Restaurant,Ux_bs6eZ7WqIsLepTw1uBw,3.5,$$
Taiwan Restaurant,eu3UCrfFkTF73F0idXeJ5Q,3.5,$$
Java Beach at the Zoo,iRmdKzcbdFLIp3s9e4xrHA,4.0,$
Fang,q22kIfCuND7shr9vkOmwnQ,3.5,$$
White Horse Tavern & Restaurant,aK_4VuHnDlanajeTI77qqQ,3.5,$$
Dunya Bistro,vvubENH1s-YoZ-sjLWtQMg,4.0,$$
Cocola Bakery,zL1cB0Z5mBeEqC17UObRYQ,3.5,$$
Nick's Crispy Tacos,ziVej4oW2JpUConTE_Y_mg,4.0,$
Trattoria Pinocchio,1hkvOkD9MZINKlDzIweByw,3.5,$$
Small Foods,jDka56EYw8ZdrAEqMxROCQ,3.5,$$
Martita Restaurant,7s_cy5GHZmMX3nlJe6qSLQ,4.0,$
Manila Oriental Market,KTCJ3-cYhFVENTUIBAzpQw,3.0,$
San Bruno Supermarket,Y5scm_Y8MijSKpp350jKLQ,2.0,$$
Foods Co,WVwNFQ2EwJBN_Wrxnps7UA,3.0,$
Taqueria El Farolito,32DgQWrJoAA71NyFUzimHA,3.5,$$
Lee's Deli,LqcRYWDVQ5XF0tzTtkZ7zA,3.0,$
Tony's Cable Car Restaurant,LOnMdHbYlpkRy0T2lf28fw,3.5,$
El Chico Produce No 2,I002H5kRDi71SjvahjbZ5w,4.0,$
Han Il Kwan,eBxkmr-hJ2KgpZQzEO3ArQ,4.0,$$
,,,
Barbacco,Wd5ho0_FKk9n7uV8pSCYIg,4.0,$$
The Connection,an7BKIlXd-UPfdeFCImDqA,4.0,$
Mela Tandoori Kitchen,6KASBgDLNL7tYGj3Z-I1JQ,4.0,$$
Kitchen Story,XQLmEdXoMzOpffwoFaBtaQ,4.0,$$
Kirin Chinese Restaurant,7-dTTiS53rgn0SdqczzAIQ,3.5,$$
Coi,HG5cvtfUcpMojb2RyB2ZJQ,4.0,$$$$
Dragon City Bakery & Cafe,cceVsCxlAR3VaME_T3x6tQ,3.5,$
China Express,RtXDJgw6ts1TAv9mwFNZGg,2.5,$
Mission Cheese,ntct3hvX_ona00m1BC0Xtw,4.0,$$
Tadich Grill,WxxE5kE8omgQhJE8sWIvmA,4.0,$$$
Catch,b7YegTB6cWpi0XbI9ZEkBQ,3.5,$$$
Cha-Ya,29lhGyTOtiWGkLCWDJZZFg,4.0,$$
Cafe Bunn Mi,Ep3VtYXc-wvSAp8SaEGa_Q,4.0,$
Borobudur Restaurant,VZwe5P-at3JYNCxOVSfe-g,3.5,$$
Chipotle Mexican Grill,SQuQ32gVOVsnXrKCOXl0Xw,3.0,$
Bread & Butter Market,9tOZHnqFZ-FOB03V0c8t5w,3.0,$$
Garden House Cafe,M0xEpdbcmF6iEG7LSST_lQ,4.0,$
Safeway,kVICeMDR_X4n-79tGOY7PQ,2.5,$$
Peet's Coffee,Z5G6Va64QQwYBXNpO74nMw,4.0,$
Grand Coffee,l3CO569of8E_Dw7ITfrqiw,4.5,$
Five Happiness,ZJeACgKeEPuk3v0UiR9Y_Q,3.5,$$
La Tortilla,EB5Luwg0aGXORbJjIY6syg,2.5,$
The Mint,iXR55l9-CqiSUoC_78A26Q,3.5,$$
Mel's Drive-In,wGRVry4rZaDsAR39NoOiLA,2.5,$$
Sliders Diner,q9qlhyZVJpyHT0tgEaPxUQ,4.0,$$
Mums Home of Shabu Shabu,KNjay-slya3gi7rw13ifOQ,3.5,$$
Hot Sauce and Panko,NwqdohySKrDnK0RsAde9UA,4.5,$
Michael Mina,5I3fM8fRdkJdKL-_BJ1qvw,4.0,$$$$
Sakesan Sushi & Bistro,LDqA7rQ3fCmPWFymhIXXcQ,4.0,$$
Ming's Diner,iguOSVitkzZ8EIMQcOn8VQ,3.5,$
Gourmet Dim Sum and Cafe,CgrDoK7B3fXp0Og5eAd30Q,3.5,$
Gateway Croissant,ILp-z7UxaqzHo71jcwxRUQ,3.5,$
Casa Mexicana II,hJRjVPxf9pDcgBFeUNyzMg,3.0,$
Roxanne Cafe,BB0YnEFVeYsHwZ7eTzrjeA,3.0,$$
Red House Bakery,M3Qs_xtzTMnWriyxOqqnDg,4.0,$
,,,
Taqueria Guadalajara,1dwJK21zm7cuhUKdROWJXQ,4.0,$
Marnee Thai,pYk2UZ_AUGWO4s8YFepRHQ,4.0,$$
Sunset's Best Seafood Restaurant,LFxokisnLXNgVKpM_fJZqA,3.5,$
Taraval Okazu Ya Restaurant,vfK7_QDzzQfzaXf4zOz0fA,3.5,$$
,,,
Sunrise Deli,e02eHaL0toY64Tzodnx8_Q,4.0,$
