name,id,text
,,
Rainbow Grocery,5NvXIkNdCCqUb235WVfMJg,"Love love this co-op grocery store! My mom bought from this place since they started in a small like garage. 

They sell lots of local produce, which I love..."
Rainbow Grocery,5NvXIkNdCCqUb235WVfMJg,"The produce and selection of products they have are 5 star but the service is absolutely horrible. The staff is mean, bitter and lazy. They make you feel as..."
Rainbow Grocery,5NvXIkNdCCqUb235WVfMJg,This Grocery Store is Vegan and Gluten Free Heaven!! They have so many different varieties of Gluten Free Breads. They also have the mini version of the GF...
Parada 22,TlBFKt2N2eSEBpN-UZmDBw,"#pastelon
Sweet #plantains layered dpicadillo (spiced ground beef with pork, olives, raisins, peppers, and onions)
W/ rice & beans, salad, #maduros (fried..."
Parada 22,TlBFKt2N2eSEBpN-UZmDBw,"My bf and I dined here last night and enjoyed ourselves.

The restaurant is cute and cozy, with a few 2-person tables, counter seating, and a large table..."
Parada 22,TlBFKt2N2eSEBpN-UZmDBw,"Two things that already make me not want to come back. 
1) attitude at the register 
2) didn't listen to our order 

Then 10 mins later brought the wrong..."
Newtree,thrAX79eegx1Of82TCJhrA,"Awesome staff, delicious soups and great ingredients. Veggie/ gluten free/ vegan friendly. I come here every day for a soup- they are THAT good."
Newtree,thrAX79eegx1Of82TCJhrA,I made a quick stop at Newtree to grab the Quinoa burger for lunch and was a little disappointed at the size of the burger that I was handed. It was...
Newtree,thrAX79eegx1Of82TCJhrA,"Newtree is a wonderful cafe! The staff here are friendly and welcoming. This has become my recent go to for lunch because the cafe is kept tidy, the food is..."
Starbucks,C36BK5luxi-8apVMMhsizQ,"Very good service

It is fair to say that the quality of the drinks do not vary by much from store to store. There are some differences of course, but the..."
Starbucks,C36BK5luxi-8apVMMhsizQ,Starbucks is obviously pretty standard. This one has a great view of the Bay Bridge from the street and the bathroom doesn't require a passcode. A rare find...
Starbucks,C36BK5luxi-8apVMMhsizQ,"Disgusting drink, but the cashier highly recommended it to me.  2018 Halloween Special: Witch's Brew.  This drink has a super fake orange flavor and is..."
Dojima-Ann,cseyjQ0XIp6dwC0_TcaMOg,"I love this place! I always go here for lunch at least 3-4 times a week. I get the same order every time: hamachi sashimi, bowl of white rice, and tea. I'm..."
Dojima-Ann,cseyjQ0XIp6dwC0_TcaMOg,"I was craving Japanese food while shopping around Union Square and had always seen this place, but never had a chance to try it until today. 

I wasn't..."
Dojima-Ann,cseyjQ0XIp6dwC0_TcaMOg,"Food: 3/5     Price: 4/5      Service: 2/5    Ambience: 4/5

Popular Japanese place near Union Square. Service was terrible and slow, food was ok...

Niku..."
Piccino,i2VhtC1JkV_sZOA4urd1ng,"Charming little place in the Dogpatch that is a bit of a hidden gem. Out front there's a coffee shop, but if you walk around the corner you'll find a cozy..."
Piccino,i2VhtC1JkV_sZOA4urd1ng,"Wow. I have never had a tastier Americano. Tons of flavor without being underroasted. The service was quick as well.

Great quick pitstop before you catch a..."
Piccino,i2VhtC1JkV_sZOA4urd1ng,"Used to live in the neighborhood for a couple years, and missed this spot since leaving the Dog Patch back in 2012.

Visited during Pride weekend, and still..."
Eric's Restaurant,Ux_bs6eZ7WqIsLepTw1uBw,I love Chinese food and don't trust any other place so I decided to give them another chance. My boyfriend and I have been coming for their lunch special...
Eric's Restaurant,Ux_bs6eZ7WqIsLepTw1uBw,"Great!

We really enjoy erics. Its super reasonably priced, the food is fresh and fast - and many dishes are quite tasty."
Eric's Restaurant,Ux_bs6eZ7WqIsLepTw1uBw,"I recently went here for lunch, based on the fact that dinner times here in years past held positive memories. This place is a find. Lunch special: less..."
Taiwan Restaurant,eu3UCrfFkTF73F0idXeJ5Q,"I passed by this restaurant almost every week in the past 5 years, and finally started trying the food here. I was asking myself why I didn't come in..."
Taiwan Restaurant,eu3UCrfFkTF73F0idXeJ5Q,"Have you ever been turned off by seeing signs such as ""$15 minimum for CC charges"", ""50c charge on card transactions"" etc Well this place doesn't have any..."
Taiwan Restaurant,eu3UCrfFkTF73F0idXeJ5Q,"This place needs more love. My bf frequented this place often when he was a kid. We came by as he was feeling nostalgic. When we entered, the place was..."
Java Beach at the Zoo,iRmdKzcbdFLIp3s9e4xrHA,"Great coffee breakfast sandwiches lunch soups salads ! Friendly staf and if u sit outside u can enjoy our foggy coast! 

I recommend the bagels .... BLT or..."
Java Beach at the Zoo,iRmdKzcbdFLIp3s9e4xrHA,"Very friendly staff, great service, food and ambience.

A great stop on the way to a college tour."
Java Beach at the Zoo,iRmdKzcbdFLIp3s9e4xrHA,"Friendly service. It was warm day. We stopped in for Straus Milk frozen yogurt. It was $3.75/cup.  

Easy street parking ."
Fang,q22kIfCuND7shr9vkOmwnQ,This is a pretty good lunch spot to come with a big group of coworkers because 1. It's located fairly close to many office buildings and 2. The owner will...
Fang,q22kIfCuND7shr9vkOmwnQ,"Although the food was good (thus a couple of stars), I will *never* come back here due to our experience with the owner. I understand that he is passionate..."
Fang,q22kIfCuND7shr9vkOmwnQ,"Amazing restaurant!  Family owned modern Cantonese place. The owner, Mr Fang came over and told us to forget the menu - we told him my mother in law was..."
White Horse Tavern & Restaurant,aK_4VuHnDlanajeTI77qqQ,"My new go-to downtown!

Wings and Fries Combo
- Lemon Pepper - salty but tangy, skin crispy and meat lean!
- BBQ - crowd pleaser, you can't go wrong with..."
White Horse Tavern & Restaurant,aK_4VuHnDlanajeTI77qqQ,Best prices. Friendly staff. Great place to grab a well-priced steak dinner and have a drink. Only critique is they don't have ginger beer for a Moscow Mule...
