name,id,rating,price,review_rating,review_sentiment
Rainbow Grocery,5NvXIkNdCCqUb235WVfMJg,4.0,$$,3.6666666666666665,0.08020833333333333
Parada 22,TlBFKt2N2eSEBpN-UZmDBw,4.0,$$,3.3333333333333335,0.10634920634920635
Newtree,thrAX79eegx1Of82TCJhrA,4.0,$$,4.666666666666667,0.355787037037037
Starbucks,C36BK5luxi-8apVMMhsizQ,3.5,$,3.0,0.27030952380952383
Dojima-Ann,cseyjQ0XIp6dwC0_TcaMOg,3.5,$$,3.6666666666666665,0.021527777777777774
Piccino,i2VhtC1JkV_sZOA4urd1ng,4.0,$$,4.666666666666667,0.16543560606060606
Eric's Restaurant,Ux_bs6eZ7WqIsLepTw1uBw,3.5,$$,4.333333333333333,0.2118777056277056
Taiwan Restaurant,eu3UCrfFkTF73F0idXeJ5Q,3.5,$$,3.6666666666666665,0.013888888888888886
Java Beach at the Zoo,iRmdKzcbdFLIp3s9e4xrHA,4.0,$,4.333333333333333,0.5446759259259258
Fang,q22kIfCuND7shr9vkOmwnQ,3.5,$$,3.6666666666666665,0.3454166666666667
White Horse Tavern & Restaurant,aK_4VuHnDlanajeTI77qqQ,3.5,$$,4.0,0.16676136363636362
Dunya Bistro,vvubENH1s-YoZ-sjLWtQMg,4.0,$$,3.3333333333333335,0.18593749999999998
Cocola Bakery,zL1cB0Z5mBeEqC17UObRYQ,3.5,$$,3.3333333333333335,0.4879166666666667
Nick's Crispy Tacos,ziVej4oW2JpUConTE_Y_mg,4.0,$,2.6666666666666665,0.21365740740740743
Trattoria Pinocchio,1hkvOkD9MZINKlDzIweByw,3.5,$$,3.6666666666666665,0.2956018518518519
Small Foods,jDka56EYw8ZdrAEqMxROCQ,3.5,$$,3.6666666666666665,0.13895833333333332
Martita Restaurant,7s_cy5GHZmMX3nlJe6qSLQ,4.0,$,4.333333333333333,0.15303030303030304
Manila Oriental Market,KTCJ3-cYhFVENTUIBAzpQw,3.0,$,2.3333333333333335,0.09166666666666666
San Bruno Supermarket,Y5scm_Y8MijSKpp350jKLQ,2.0,$$,3.3333333333333335,0.36666666666666664
Foods Co,WVwNFQ2EwJBN_Wrxnps7UA,3.0,$,3.3333333333333335,0.2555555555555556
Taqueria El Farolito,32DgQWrJoAA71NyFUzimHA,3.5,$$,3.3333333333333335,0.13935185185185184
Lee's Deli,LqcRYWDVQ5XF0tzTtkZ7zA,3.0,$,2.0,-0.17222222222222225
Tony's Cable Car Restaurant,LOnMdHbYlpkRy0T2lf28fw,3.5,$,4.333333333333333,0.44166666666666665
El Chico Produce No 2,I002H5kRDi71SjvahjbZ5w,4.0,$,3.3333333333333335,0.10166666666666668
Han Il Kwan,eBxkmr-hJ2KgpZQzEO3ArQ,4.0,$$,4.333333333333333,0.3844135802469135
Barbacco,Wd5ho0_FKk9n7uV8pSCYIg,4.0,$$,3.6666666666666665,0.2722222222222222
The Connection,an7BKIlXd-UPfdeFCImDqA,4.0,$,5.0,0.32861111111111113
Mela Tandoori Kitchen,6KASBgDLNL7tYGj3Z-I1JQ,4.0,$$,4.333333333333333,0.33796296296296297
Kitchen Story,XQLmEdXoMzOpffwoFaBtaQ,4.0,$$,4.333333333333333,0.20162037037037037
Kirin Chinese Restaurant,7-dTTiS53rgn0SdqczzAIQ,3.5,$$,4.0,0.3
Coi,HG5cvtfUcpMojb2RyB2ZJQ,4.0,$$$$,5.0,0.24166666666666667
Dragon City Bakery & Cafe,cceVsCxlAR3VaME_T3x6tQ,3.5,$,3.6666666666666665,0.12412698412698414
China Express,RtXDJgw6ts1TAv9mwFNZGg,2.5,$,1.3333333333333333,0.12506060606060607
Mission Cheese,ntct3hvX_ona00m1BC0Xtw,4.0,$$,4.333333333333333,0.2302827380952381
Tadich Grill,WxxE5kE8omgQhJE8sWIvmA,4.0,$$$,5.0,0.3458333333333334
Catch,b7YegTB6cWpi0XbI9ZEkBQ,3.5,$$$,3.3333333333333335,0.33055555555555555
Cha-Ya,29lhGyTOtiWGkLCWDJZZFg,4.0,$$,3.6666666666666665,0.20185185185185187
Cafe Bunn Mi,Ep3VtYXc-wvSAp8SaEGa_Q,4.0,$,3.3333333333333335,0.09999999999999999
Borobudur Restaurant,VZwe5P-at3JYNCxOVSfe-g,3.5,$$,4.0,0.19939393939393937
Chipotle Mexican Grill,SQuQ32gVOVsnXrKCOXl0Xw,3.0,$,2.6666666666666665,-0.07363095238095238
Bread & Butter Market,9tOZHnqFZ-FOB03V0c8t5w,3.0,$$,1.3333333333333333,0.10063131313131313
Garden House Cafe,M0xEpdbcmF6iEG7LSST_lQ,4.0,$,3.0,-0.014444444444444446
Safeway,kVICeMDR_X4n-79tGOY7PQ,2.5,$$,4.0,0.388888888888889
Peet's Coffee,Z5G6Va64QQwYBXNpO74nMw,4.0,$,2.3333333333333335,-0.20045855379188712
Grand Coffee,l3CO569of8E_Dw7ITfrqiw,4.5,$,4.333333333333333,0.5358333333333333
Five Happiness,ZJeACgKeEPuk3v0UiR9Y_Q,3.5,$$,2.3333333333333335,0.3499999999999999
La Tortilla,EB5Luwg0aGXORbJjIY6syg,2.5,$,2.3333333333333335,0.03996913580246914
